Column,ID_cost,costo_per_wp
321,18481,"0,285"
322,37156,"0,18"
323,40613,"0,191"
324,37744,"0,155"
325,44196,"0,172"
326,30975,"0,311"
327,43297,"0,16"
328,41903,"0,541"
329,22243,"0,19"
330,38457,"0,302"
331,36323,"0,445"
332,42229,"0,187"
333,37695,"0,155"
334,43792,"0,168"
335,44466,"0,165"
336,42707,"0,189"
337,38032,"0,222"
338,32642,"0,24"
339,40606,"0,169"
340,44440,"0,169"
341,36585,"0,16"
342,29746,"0,222"
343,43067,"0,221"
344,18441,"0,356"
345,9631,"0,445"
346,36674,"0,187"
347,3476,"0,267"
348,29796,"0,249"
349,44066,"0,19"
350,37453,"0,316"
351,43812,"0,16"
352,36880,"1,07"
353,41524,"0,318"
354,35176,"0,231"
355,32235,"0,249"
356,31480,"0,8"
357,31711,"0,434"
358,42453,"0,889"
359,43068,"0,228"
360,38496,"0,213"
361,22231,"0,19"
362,44573,"0,174"
363,38486,"0,211"
364,42046,"0,209"
365,39622,"0,157"
366,43815,"0,159"
367,42226,"0,169"
368,25828,"0,169"
369,32656,"0,158"
370,975,"0,445"
371,43346,"0,167"
372,42040,"0,213"
373,37168,"0,2"
374,37938,"0,153"
375,35419,"0,24"
376,43811,"0,171"
377,42819,"0,209"
378,36571,"0,79"
379,971,"0,44"
380,31706,"0,245"
381,35820,"0,311"
382,42818,"0,205"
383,31439,"0,271"
384,40737,"0,195"
385,39725,"0,231"
386,36597,"0,157"
387,44847,"0,156"
388,44062,"1,15"
389,43164,"0,146"
390,36379,"0,445"
391,35425,"0,205"
392,44738,"0,164"
393,33688,"0,142"
394,42529,"0,249"
395,45012,"0,205"
396,29709,"0,157"
397,36633,"0,24"
398,38414,"0,267"
399,36875,"0,196"
400,40393,"0,222"
401,24544,"0,889"
402,38435,"0,141"
403,42925,"0,311"
404,31699,"0,378"
405,40422,"0,222"
406,43118,"0,189"
407,44441,"0,168"
408,43337,"0,196"
409,42036,"0,2"
410,41601,"0,178"
411,36325,"0,445"
412,30664,"0,157"
413,25832,"0,258"
414,42715,"0,178"
415,43703,"0,183"
416,41914,"0,164"
417,41742,"0,285"
418,29539,"0,21"
419,36168,"0,169"
420,44794,"0,176"
421,35649,"0,222"
422,39260,"0,178"
423,44991,"0,178"
424,42924,"0,158"
425,42719,"0,173"
426,18597,"0,165"
427,43777,"0,156"
428,38025,"0,24"
429,36670,"1,78"
430,42454,"0,889"
431,36931,"1,15"
432,41756,"0,285"
433,37724,"0,155"
434,44578,"0,335"
435,36861,"0,285"
436,30540,"0,182"
437,41541,"0,174"
438,43620,"0,154"
439,30658,"0,142"
440,32624,"0,267"
441,31700,"0,307"
442,40293,"0,222"
443,29527,"0,178"
444,36375,"0,445"
445,42619,"0,196"
446,36929,"1,15"
447,35174,"0,156"
448,38587,"0,205"
449,7925,"0,213"
450,38418,"0,267"
451,44671,"0,181"
452,38592,"0,205"
453,29031,"0,178"
454,36350,"0,445"
455,35418,"0,24"
456,38017,"0,889"
457,44854,"0,188"
458,41608,"0,24"
459,43702,"0,185"
460,35502,"0,211"
461,38596,"0,205"
462,39447,"0,245"
463,24317,"0,169"
464,40391,"0,222"
465,39497,"0,178"
466,41094,"0,196"
467,44742,"0,18"
468,42461,"0,711"
469,45066,"0,207"
470,30182,"1,07"
471,36370,"0,445"
472,42465,"0,195"
473,40283,"0,352"
474,33979,"0,23"
475,44653,"0,16"
476,29052,"1,07"
477,33683,"0,142"
478,41890,"0,378"
479,45016,"0,0889"
480,33977,"0,23"
481,31697,"0,373"
482,35420,"0,24"
483,42025,"0,178"
484,43705,"0,22"
485,41900,"0,176"
486,22241,"0,19"
487,36515,"0,178"
488,31710,"0,592"
489,3480,"0,267"
490,36653,"0,293"
491,36355,"0,445"
492,44855,"0,178"
493,44430,"0,182"
494,40278,"0,211"
495,37610,"0,206"
496,43155,"0,146"
497,35175,"0,156"
498,38487,"0,211"
499,24534,"1,32"
500,41978,"0,222"
501,42523,"0,147"
502,44400,"0,169"
503,35084,"0,16"
504,31712,"0,39"
